method,cancer,MCC,F1,AUC,Precision,ks
MaxMIF,KICH,0.09077797394807134,0.528267551451197,0.5442973102229122,0.24,3.6393680810712744e-06
MutPanning,KICH,-0.0007576217753096789,0.4951810999175041,0.524886942455163,0.03,0.008479489185385969
WITER,KICH,-0.0007576217753096789,0.4951810999175041,0.524886942455163,0.03,0.008479489185385969
driverRWH,KICH,0.09201305539401687,0.5291915649638841,0.5349592172478165,0.24,0.0007688882120109287
DNmax,KIRC,0.01716114456661214,0.501776793992588,0.6912484828614828,0.07,8.655328693160322e-47
DNsum,KIRC,0.08193672119160833,0.5250582522172335,0.7107618821319642,0.22,2.45584621717668e-50
DriverML,KIRC,0.04742907713925798,0.5126688609643856,0.5135565504777326,0.14,2.9632321314692156e-05
MaxMIF,KIRC,0.08208083123435951,0.5251279012112715,0.6691833264148467,0.22,1.9709505490542033e-40
MutPanning,KIRC,-0.0051315839275024,0.49359611122022784,0.5733852308227873,0.02,3.1672026581939615e-12
WITER,KIRC,-0.0051315839275024,0.49359611122022784,0.5733852308227873,0.02,3.1672026581939615e-12
driverRWH,KIRC,0.10937297397332296,0.5354585657630337,0.6411957049549077,0.28,2.8322745288563024e-23
DNmax,KIRP,0.03443463166661112,0.5079851828524935,0.6993372638290759,0.11,4.9630938101063696e-60
DNsum,KIRP,0.11216532361660654,0.535922932722068,0.6857743684948775,0.29,2.5292080531711648e-39
DriverML,KIRP,0.04742907713925798,0.5126688609643856,0.4862808403676726,0.14,0.0032329307039295776
MaxMIF,KIRP,0.11252083073235093,0.5361166770510107,0.6296161636397084,0.29,1.828845167708704e-31
MutPanning,KIRP,0.012364264681268482,0.499936066009333,0.5682874573175605,0.06,2.0883454351026194e-09
WITER,KIRP,0.012364264681268482,0.499936066009333,0.5682874573175605,0.06,2.0883454351026194e-09
driverRWH,KIRP,0.09201305539401687,0.5291915649638841,0.6261819240998786,0.24,1.926219091585607e-21
DNmax,LGG,0.11648369539160629,0.5374750299370443,0.7376539446408974,0.3,2.420158534174916e-90
DNsum,LGG,0.14239392604160475,0.5467876132269025,0.7268794852994024,0.36,5.611676938594913e-57
DriverML,LGG,0.07807387780799889,0.5237806458935366,0.5235951337012315,0.21,1.6608002696601504e-09
MaxMIF,LGG,0.1299151161597746,0.5423959775308617,0.6935346340088409,0.33,1.3173675900212718e-56
MutPanning,LGG,0.0036163403768830417,0.49676608861478033,0.587234175694987,0.04,1.1723553845375864e-12
WITER,LGG,0.0036163403768830417,0.49676608861478033,0.587234175694987,0.04,1.1723553845375864e-12
driverRWH,LGG,0.1657927093560678,0.5558263183602701,0.6971240710664331,0.41,2.0224736382529582e-52
DNmax,LIHC,0.1251204389416058,0.5405792243669971,0.7331568856487378,0.32,6.153805903400548e-80
DNsum,LIHC,0.10352858006660705,0.5328187382921152,0.7080561165614595,0.27,6.584076418749725e-56
DriverML,LIHC,0.07807387780799889,0.5237806458935366,0.48843104314496116,0.21,0.00014998472799349926
MaxMIF,LIHC,0.1342636875166305,0.5439658026508244,0.6850351151994927,0.34,2.0087528302068704e-48
MutPanning,LIHC,-0.0007576217753096789,0.4951810999175041,0.5767949354488018,0.03,8.159445875468876e-10
WITER,LIHC,-0.0007576217753096789,0.4951810999175041,0.5767949354488018,0.03,8.159445875468876e-10
driverRWH,LIHC,0.13975283148710865,0.5464258171615456,0.6850637809362307,0.35,4.34312935532988e-48
DNmax,LUAD,0.008524401016612646,0.4986725995626353,0.70995274158942,0.05,7.49077396924748e-69
DNsum,LUAD,0.04738974699161036,0.5126414744974226,0.695200058384093,0.14,1.6672020152786252e-43
DriverML,LUAD,0.05618473447318395,0.5158436566584288,0.4853899959642657,0.16,0.0017994314956133986
MaxMIF,LUAD,0.12556654480291868,0.5408261524108989,0.6901207647811891,0.32,1.0793082678388465e-54
MutPanning,LUAD,0.007990302529075762,0.49835107731205663,0.5553868876033445,0.05,7.48449962628931e-05
WITER,LUAD,0.007990302529075762,0.49835107731205663,0.5553868876033445,0.05,7.48449962628931e-05
driverRWH,LUAD,0.09635303503884339,0.5307583151636716,0.7653875706059249,0.25,2.4818478522702217e-86
DNmax,LUSC,0.04307137521661061,0.5110893772824462,0.7191347606615572,0.13,4.18171117799187e-81
DNsum,LUSC,0.051708118766610106,0.5141935717123989,0.6835985919985529,0.15,2.53770183093648e-41
DriverML,LUSC,0.038673419805332,0.5094940652703426,0.4028701350535252,0.12,1.3971315160090273e-14
MaxMIF,LUSC,0.11252083073235093,0.5361166770510107,0.6699244552614689,0.29,3.853257808880756e-42
MutPanning,LUSC,0.007990302529075762,0.49835107731205663,0.5719927059863618,0.05,2.241018010816613e-06
WITER,LUSC,0.007990302529075762,0.49835107731205663,0.5719927059863618,0.05,2.241018010816613e-06
driverRWH,LUSC,0.10069301468366991,0.532325065363459,0.752611751695655,0.26,3.702624797484072e-78
DNmax,PAAD,0.16398578491660348,0.5545480993017844,0.719415224358845,0.41,5.487906545071868e-66
DNsum,PAAD,0.07761834941660858,0.5235061550022572,0.7049234728279785,0.21,2.6049850196441403e-56
DriverML,PAAD,0.01678427647051707,0.5015570760352348,0.5101895058885437,0.07,5.380164067688354e-07
MaxMIF,PAAD,0.10817225937549502,0.5345468519310479,0.6405670633586775,0.28,4.19862796563581e-27
MutPanning,PAAD,-0.0051315839275024,0.49359611122022784,0.5441048077646611,0.02,3.5288541201699476e-06
WITER,PAAD,-0.0051315839275024,0.49359611122022784,0.5441048077646611,0.02,3.5288541201699476e-06
driverRWH,PAAD,0.1484327907767617,0.5495593175611203,0.6847028640161914,0.37,3.554004958125314e-57
DNmax,PCPG,0.09489183651660756,0.5297145438621625,0.7148248457020666,0.25,6.805621877263751e-78
DNsum,PCPG,0.07329997764160884,0.5219540577872808,0.6587345288209885,0.2,8.210033058136672e-45
DriverML,PCPG,0.012406447803554084,0.49996967818821336,0.48194865869150944,0.06,9.360020704142929e-05
MaxMIF,PCPG,0.09947511666178317,0.5314072016911224,0.550651563069685,0.26,1.239181667822379e-06
MutPanning,PCPG,0.016738226833461205,0.5015210547066092,0.5385029199284603,0.07,0.0013805940769349766
WITER,PCPG,0.016738226833461205,0.5015210547066092,0.5385029199284603,0.07,0.0013805940769349766
driverRWH,PCPG,0.06597317752505771,0.5197910637651597,0.5426624243165913,0.18,3.6501970077218134e-05
DNmax,PRAD,0.0992102082916073,0.5312666410771388,0.7283349995275976,0.26,4.48813053845562e-84
DNsum,PRAD,0.11216532361660654,0.535922932722068,0.7035113630949544,0.29,5.978958328887729e-46
DriverML,PRAD,0.029917762471406033,0.5063192695762995,0.5008467696428186,0.1,1.471133724710991e-05
MaxMIF,PRAD,0.1516579729440542,0.5502451031306754,0.6450133548732098,0.38,8.488783778264414e-34
MutPanning,PRAD,0.007990302529075762,0.49835107731205663,0.5763174967741906,0.05,1.5629887308109656e-10
WITER,PRAD,0.007990302529075762,0.49835107731205663,0.5763174967741906,0.05,1.5629887308109656e-10
driverRWH,PRAD,0.10503299432849644,0.5338918155632464,0.6697660335526634,0.27,2.2255585167393955e-36
DNmax,READ,0.05602649054160985,0.5157456689273753,0.7350541667911601,0.16,2.3440325002903286e-91
DNsum,READ,0.1251204389416058,0.5405792243669971,0.705345859130408,0.32,1.173406311757098e-47
DriverML,READ,0.038673419805332,0.5094940652703426,0.4496024590154811,0.12,2.9027150428181703e-08
MaxMIF,READ,0.1516579729440542,0.5502451031306754,0.6707986566257111,0.38,1.533390251858035e-38
MutPanning,READ,0.0036163403768830417,0.49676608861478033,0.5898887925230802,0.04,2.903891158629668e-14
WITER,READ,0.0036163403768830417,0.49676608861478033,0.5898887925230802,0.04,2.903891158629668e-14
driverRWH,READ,0.17447266864572086,0.5589598187598448,0.6946484752310971,0.43,2.5409336840464054e-57
DNmax,SARC,0.13375718249160526,0.5436834187969498,0.724764777918377,0.34,5.371362606280871e-92
DNsum,SARC,0.051708118766610106,0.5141935717123989,0.6497313261748892,0.15,2.977911265323101e-27
DriverML,SARC,0.051806905806220965,0.5142562588114072,0.5011898515860347,0.15,0.022391992009590765
MaxMIF,SARC,0.11252083073235093,0.5361166770510107,0.5852096451303217,0.29,6.382359820020004e-19
MutPanning,SARC,0.007990302529075762,0.49835107731205663,0.5321553919226334,0.05,0.012718050348610089
WITER,SARC,0.007990302529075762,0.49835107731205663,0.5321553919226334,0.05,0.012718050348610089
driverRWH,SARC,0.09635303503884339,0.5307583151636716,0.5851270034925254,0.25,6.264053389790265e-14
DNmax,SKCM,-0.008749086083386336,0.4924642107027299,0.6387585688548724,0.01,2.3748611168150338e-30
DNsum,SKCM,0.04307137521661061,0.5110893772824462,0.6700246941295319,0.13,3.9657059937297574e-30
DriverML,SKCM,0.038673419805332,0.5094940652703426,0.4929754737313313,0.12,9.809493713003865e-07
MaxMIF,SKCM,0.055989403093224,0.5157089504914951,0.6545251772454235,0.16,2.9836845936665794e-34
MutPanning,SKCM,0.0036163403768830417,0.49676608861478033,0.5738578901089667,0.04,1.5974165599982232e-06
WITER,SKCM,0.0036163403768830417,0.49676608861478033,0.5738578901089667,0.04,1.5974165599982232e-06
driverRWH,SKCM,0.08333309610436382,0.5260580645643093,0.776859292937196,0.22,1.4180403306949454e-90
DNmax,STAD,0.012842772791612393,0.5002246967776117,0.7253200526345115,0.06,1.3719529285377765e-75
DNsum,STAD,0.13375718249160526,0.5436834187969498,0.7159373130073783,0.34,3.0579350071246366e-58
DriverML,STAD,0.08245170647496187,0.5253680437405581,0.5014546340492663,0.22,0.00039013734687756447
